donorName,Value
IKON Communications P/L,42000
IKON Communications P/L,30000
MAX Solutions,15000
CMAX Communications Pty Ltd,42000
CMAX Communications Pty Ltd,30000
Dept. of Finance,81500
ADCO CONSTRUCTIONS PTY LTD,1902261.23
AGSX PTY LTD,15332
ADCO CONSTRUCTIONS PTY LTD,46620.2
ASX Operations Pty Ltd,61600
Auscript Australasia Pty Ltd,30000
Auscript Australasia Pty Ltd,50100
ACT Electoral Commission,14707.03
Australian Electoral Commission,14707.03
NSW Electoral Commission,14707.03
Australian Taxation Office,2071859
Australian Taxation Office,128892.81
The BMD Group,159310
ADCO CONSTRUCTIONS PTY LTD,1321793.92
Brisbane Airports Corporation,88750.52
Brisbane Airports Corporation,10659.11
Brisbane Airports Corporation,11000
RBC Business Solutions,255288
Clayton Utz,13420392.73
Crown Melbourne Limited,19780
Clayton Utz,206092.5
Clayton Utz,2816999.25
ADCO CONSTRUCTIONS PTY LTD,293898
ADCO CONSTRUCTIONS PTY LTD,17500
Commonwealth Bank of Australia,4270731
Deloitte Touche Tohmatsu,18292396.87
Deloitte Touche Tohmatsu,176802.94
Dept. of Finance,394369.53
DWS Limited,421651.98
Deloitte Touche Tohmatsu,8492846.66
Deloitte Touche Tohmatsu,17622
Deloitte Touche Tohmatsu,260000
Department of Finance and Administration,31073.92
Dept. of Finance,17491940.63
Dept. of Finance,3096532.06
MAX Solutions,1733936.81
Ernst & Young,27517823.7
Technology One Limited,30556.9
Ernst & Young,6438005.65
MAX Solutions,33590.65
GJJ Family Trust,10218
GRACosway,104500
J & G Investments Australia P/L,11946
Grant Thornton,13464
Grant Thornton,99089
MAX Solutions,943943.08
Holding Redlich,214311.61
MAX Solutions,66000
RBC Business Solutions,34013.89
AKS Industries Aust Pty Ltd,47045
International SOS (Australasia) Pty Ltd,593136.1
KPMG Australia,32204618.14
KPMG Australia,210000
KPMG Australia,63102734.87
KPMG Australia,1473836.88
Technology One Limited,1075810.02
Linfox Australia Pty Ltd,13388981.68
Macquarie Telecom Pty Ltd,1037323.01
MAX Solutions,137280
McInnes Wilson Lawyers,108200
McInnes Wilson Lawyers,700000
Mulloway Pty Ltd,25000
Macquarie Telecom Pty Ltd,284189.4
MAX Solutions,56684.96
McInnes Wilson Lawyers,10257.5
IKON Communications P/L,400156.9
Technology One Limited,11000
Origin Energy,115000
Origin Energy,2473256.16
Origin Energy,15665220
Origin Energy,1030000
Origin Energy,1200431.87
Parakeelia Pty Ltd,304959.6
Perth Airport Pty Ltd,113488.96
Pricewaterhouse Coopers,10767001.5
Pricewaterhouse Coopers,467840
Pricewaterhousecoopers,16587767.45
Pricewaterhousecoopers,19187141.74
Pricewaterhousecoopers,92858.67
Perth Airport Pty Ltd,501390.56
Pricewaterhouse Coopers,592644.8
Pricewaterhousecoopers,532948.5
Pricewaterhousecoopers,669963.2
Pricewaterhouse Coopers,12500
Pricewaterhousecoopers,5860406.07
Pricewaterhousecoopers,531715
Robert Walters,1079354.36
Therapy Solutions,63800
IKON Communications P/L,70200
Robert Walters,16500
Robert Walters,414625.02
Sanofi-Aventis Australia Pty Ltd,22163703.47
SAS Group,217800
SingTel Optus Pty Ltd,128558.1
SingTel Optus Pty Ltd,43160
Sonic Healthcare Limited,2931335
Technology One Limited,70873.9
Thales Australia Limited,7422940.81
Thales Australia Limited,250519387.2
Thales Australia Limited,52173428.36
Thales Australia Limited,4036458.66
Thales Australia Limited,15735.5
Technology One Limited,232541.93
Technology One Limited,7659167.47
Technology One Limited,528085.33
Technology One Limited,50573.4
Thales Australia Limited,375376.1
Roche Group Pty Ltd,21840.01
VG Projects Pty Ltd,1669403.73
Westpac Banking Corporation,810000
Son Holdings Pty Ltd,20596.43
Westpac Banking Corporation,4405500
